GPA,Certifications & Skills,College,City,College Tier,City Tier,Placement Ratio,CIBIL Score,Parent Income (LPA),Salary (INR),Credit Worthiness
6.25,6,College_100,City_10,Tier 2,Tier 2,0.8320745078392935,777,10.997215117816484,1980163.7553032525,0.5970332281670608
9.7,3,College_73,City_3,Tier 3,Tier 2,0.5449376374384931,358,10.139369813849957,1973939.3271550415,0.5087094252290751
8.39,1,College_16,City_8,Tier 3,Tier 2,0.5285526055485296,409,12.808231943176413,1988769.7121027727,0.4285361672394585
7.59,4,College_46,City_5,Tier 2,Tier 2,0.8470235155194514,778,12.583079724534102,2043800.2116815741,0.6342514265438937
4.94,2,College_59,City_6,Tier 2,Tier 2,0.8343463337075333,893,2.849387676864356,725856.5409188543,0.4552289233075836
4.94,8,College_38,City_9,Tier 1,Tier 1,0.8953001740570075,348,6.641514224438686,3045753.476893242,0.4222405314393959
4.35,5,College_97,City_1,Tier 2,Tier 2,0.7708572760863553,676,14.786143471737354,1248660.5995904552,0.45259671668859297
9.2,0,College_18,City_5,Tier 3,Tier 2,0.5835098407753994,331,11.2407458518297,812788.2612064194,0.4272124573659336
7.61,2,College_12,City_10,Tier 2,Tier 2,0.7931224971291132,785,8.913937347802278,2412194.095051236,0.5708517632568471
8.25,3,College_54,City_1,Tier 2,Tier 2,0.8321082908305336,830,18.809486283028495,2853309.100044962,0.6886730478024625
4.12,8,College_91,City_1,Tier 2,Tier 2,0.7739203731156346,302,14.059959349431319,657512.8362832296,0.3738853471568863
9.82,5,College_47,City_6,Tier 2,Tier 2,0.8220845063356936,677,15.399141137714942,2044217.9206806722,0.7393407033151748
8.99,3,College_1,City_10,Tier 2,Tier 2,0.8429290981612894,871,8.896702145805857,2818877.637004589,0.6984048144690949
5.27,0,College_15,City_3,Tier 3,Tier 2,0.5948780524056468,541,11.927395528021988,573560.3889839019,0.3059715330667322
5.09,7,College_91,City_1,Tier 2,Tier 2,0.7526046914380213,840,9.592822983174345,775946.7263859023,0.5580332121274928
5.1,1,College_80,City_4,Tier 1,Tier 3,0.9741424633430821,886,4.824252300151526,1726478.161288496,0.47744118382869555
5.83,7,College_21,City_10,Tier 2,Tier 2,0.8208413851950349,881,10.984725655898751,1235933.487118949,0.6283989682965377
7.15,5,College_1,City_10,Tier 2,Tier 2,0.7649069803837014,894,9.711921494344965,2428563.9761521057,0.6420114895304141
6.59,7,College_93,City_5,Tier 3,Tier 2,0.6492263893928382,656,9.628438363946474,1640365.0861337632,0.5511790678667406
5.75,5,College_67,City_5,Tier 2,Tier 2,0.8324816464620828,496,14.953575060782564,954512.3927957502,0.4756495541943697
7.67,4,College_12,City_10,Tier 2,Tier 2,0.768103181181672,718,9.446201821099732,2625142.832678663,0.5888287600961883
4.84,4,College_28,City_2,Tier 2,Tier 2,0.7722901873324072,572,10.35031665076598,800624.407126148,0.4034304287016959
